longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.96,33.93,31.0,1471.0,321.0,841.0,330.0,3.46,232800.0,<1H OCEAN
-122.45525836511652,37.798155310865496,51.0,1819.0,470.0,795.0,438.0,4.6268507818966045,456162.0,NEAR BAY
-121.31,38.67,27.0,1998.0,353.0,970.0,343.0,4.8224,115500.0,INLAND
-118.48,34.2,26.0,2027.0,559.0,1545.0,513.0,2.8974,189900.0,<1H OCEAN
-118.15,33.97,32.0,1174.0,373.0,1758.0,361.0,2.4263,158100.0,<1H OCEAN
-118.31224305149235,34.03481748166006,35.0,2605.0,652.0,1847.0,531.0,2.5341313658209867,143933.0,<1H OCEAN
-120.87,37.62,30.0,455.0,70.0,220.0,69.0,4.8958,142500.0,INLAND
-118.31,33.96,52.0,2523.0,460.0,1167.0,413.0,3.0625,127400.0,<1H OCEAN
-117.06,32.6,24.0,1088.0,268.0,1095.0,246.0,2.4191,107300.0,NEAR OCEAN
-118.19,33.78,21.0,2741.0,1029.0,2924.0,969.0,1.3274,218800.0,NEAR OCEAN
-118.94,35.37,33.0,3372.0,741.0,2352.0,704.0,2.0643,57600.0,INLAND
-119.69,36.82,17.0,1897.0,433.0,1207.0,384.0,1.8021,55900.0,INLAND
-118.37,34.09,33.0,3180.0,865.0,1347.0,841.0,4.0651,500001.0,<1H OCEAN
-118.06,33.84,20.0,5643.0,1231.0,3841.0,1195.0,4.0542,168400.0,<1H OCEAN
-121.27,37.82,26.0,1170.0,238.0,830.0,216.0,2.6458,127500.0,INLAND
-121.54,39.12,17.0,4251.0,899.0,3265.0,934.0,2.3496,65000.0,INLAND
-121.3,38.68,19.0,2655.0,438.0,1253.0,454.0,5.2817,140600.0,INLAND
-119.15,34.83,6.0,8733.0,1600.0,2006.0,736.0,4.5724,168400.0,INLAND
-117.94341541039373,35.13517859369554,4.0,2440.0,503.0,1239.0,427.0,4.364105109232674,103306.0,INLAND
-117.24,33.94,15.0,1569.0,423.0,1123.0,369.0,1.6111,113900.0,INLAND
-118.38,34.17,33.0,1588.0,454.0,739.0,392.0,2.8208,238500.0,<1H OCEAN
-118.25008990630496,33.7782533053906,20.0,2070.0,715.0,2339.0,591.0,1.902881441562699,174257.0,NEAR OCEAN
-116.51,33.84,16.0,980.0,193.0,454.0,185.0,4.0729,100000.0,INLAND
-118.04,33.76,16.0,2070.0,263.0,878.0,297.0,7.0879,338800.0,<1H OCEAN
-117.93,33.74,30.0,1654.0,434.0,1843.0,467.0,3.1403,153000.0,<1H OCEAN
-115.59,32.96,17.0,841.0,146.0,473.0,154.0,3.1979,113500.0,INLAND
-118.3602411675179,34.054517722004285,40.0,2976.0,616.0,1218.0,563.0,3.097549342958278,361873.0,<1H OCEAN
-119.45655157410168,35.12850431019104,33.0,5237.0,1038.0,2339.0,887.0,3.2142477073706357,76477.0,INLAND
-116.98508549613851,34.02890776536276,3.0,2234.0,331.0,920.0,263.0,7.195436824633791,320808.0,INLAND
-117.55,34.14,3.0,5710.0,919.0,2874.0,886.0,5.3638,206300.0,INLAND
-121.96,37.3,20.0,4228.0,1006.0,2334.0,1007.0,4.3081,227300.0,<1H OCEAN
-118.14,33.87,21.0,6618.0,1773.0,4396.0,1649.0,3.0989,171400.0,<1H OCEAN
-117.65,34.04,15.0,3393.0,,2039.0,611.0,3.9336,151000.0,INLAND
-120.48,37.32,13.0,3641.0,897.0,1737.0,788.0,2.1418,130600.0,INLAND
-117.95,33.99,24.0,1219.0,177.0,610.0,185.0,6.7978,325000.0,<1H OCEAN
-117.58739303421737,34.04580757821909,1.0,6165.0,1076.0,3210.0,990.0,5.377740672465036,174764.0,INLAND
-122.06,37.27,16.0,1612.0,221.0,567.0,208.0,10.5793,500001.0,<1H OCEAN
-118.28,33.94,9.0,456.0,130.0,438.0,114.0,0.8952,81300.0,<1H OCEAN
-122.09,37.66,40.0,1340.0,313.0,766.0,271.0,3.4722,135400.0,NEAR BAY
-121.48,36.49,28.0,1006.0,228.0,738.0,193.0,1.9722,210700.0,<1H OCEAN
-118.32105801325267,33.91312431384471,37.0,1468.0,434.0,1282.0,412.0,3.7924911521168125,209507.0,<1H OCEAN
-119.35,36.2,29.0,1938.0,404.0,1487.0,414.0,1.7462,51100.0,INLAND
-118.37250317843557,34.17615559586396,26.0,5102.0,1519.0,3411.0,1411.0,2.047056712532663,164533.0,<1H OCEAN
-118.2413543461916,34.01861205068253,51.0,123.0,112.0,172.0,86.0,1.0503006140608149,110561.0,<1H OCEAN
-122.0,37.3,28.0,5096.0,1011.0,2588.0,954.0,5.357,355200.0,<1H OCEAN
-117.64586814396796,34.0744380552723,20.0,3764.0,799.0,2915.0,704.0,2.9729834293124995,131192.0,INLAND
-118.3,33.98,48.0,1998.0,410.0,1176.0,382.0,3.0455,102400.0,<1H OCEAN
-122.57,37.97,47.0,5416.0,1115.0,2177.0,1027.0,3.5055,382100.0,NEAR BAY
-117.83,33.75,22.0,6433.0,1174.0,2703.0,1125.0,4.9957,296400.0,<1H OCEAN
-121.22682151772455,38.01907846409535,27.0,2926.0,466.0,1374.0,479.0,4.900444667736227,192120.0,INLAND
-117.66,34.15,20.0,2524.0,311.0,965.0,285.0,8.0103,395500.0,INLAND
-123.07,38.46,31.0,855.0,217.0,280.0,139.0,2.3611,112500.0,NEAR OCEAN
-121.46,39.4,17.0,3659.0,735.0,1970.0,667.0,2.425,96200.0,INLAND
-122.06,37.63,12.0,6711.0,1374.0,3388.0,1289.0,3.8625,208900.0,NEAR BAY
-122.41,37.75,52.0,1678.0,386.0,1220.0,357.0,2.5809,255300.0,NEAR BAY
-118.7,34.3,23.0,2831.0,406.0,1284.0,393.0,6.1383,244100.0,<1H OCEAN
-122.52,37.88,52.0,176.0,50.0,88.0,46.0,3.8068,275000.0,NEAR BAY
-120.83473630545285,35.32856457014431,23.0,3097.0,583.0,1426.0,646.0,2.7550645842086445,191346.0,NEAR OCEAN
-118.5,34.02,35.0,2914.0,934.0,1334.0,870.0,2.9934,350000.0,<1H OCEAN
-118.18,34.1,7.0,2529.0,689.0,1215.0,577.0,4.7853,153100.0,<1H OCEAN
-118.13687612411829,34.168565716249255,51.0,1947.0,355.0,976.0,359.0,3.759043724504121,252872.0,<1H OCEAN
-122.47231827836781,37.89254411941395,22.0,11319.0,1739.0,3678.0,1682.0,7.285695241667914,500001.0,NEAR BAY
-121.49,38.5,32.0,2364.0,439.0,1331.0,449.0,3.319,84500.0,INLAND
-118.05527549069272,33.98566624958313,39.0,1539.0,309.0,952.0,294.0,3.7579705615632943,184494.0,<1H OCEAN
-122.7,38.23,47.0,2090.0,387.0,1053.0,377.0,3.5673,310300.0,<1H OCEAN
-117.05,32.58,22.0,2101.0,399.0,1551.0,371.0,4.1518,136900.0,NEAR OCEAN
-117.2,33.72,8.0,5528.0,1073.0,1674.0,918.0,2.5335,110100.0,<1H OCEAN
-115.58,32.79,14.0,1687.0,507.0,762.0,451.0,1.6635,64400.0,INLAND
-117.94,33.94,26.0,1962.0,540.0,1236.0,520.0,2.2156,145000.0,<1H OCEAN
-119.43,36.63,25.0,1784.0,312.0,904.0,303.0,3.625,107600.0,INLAND
-118.53,34.44,19.0,1285.0,195.0,650.0,193.0,6.0398,217800.0,<1H OCEAN
-122.05,37.95,34.0,1408.0,277.0,738.0,269.0,4.175,169400.0,NEAR BAY
-121.37,37.77,19.0,2610.0,474.0,1290.0,452.0,4.1298,222800.0,INLAND
-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,164400.0,<1H OCEAN
-117.69,33.8,5.0,3178.0,631.0,1467.0,581.0,5.2541,237100.0,<1H OCEAN
-118.3070839118459,33.82603559387444,30.0,1694.0,338.0,866.0,327.0,4.221345309402113,332173.0,<1H OCEAN
-121.92,37.29,32.0,1260.0,199.0,560.0,207.0,6.5858,346700.0,<1H OCEAN
-119.27,36.32,9.0,3631.0,635.0,1881.0,628.0,4.7723,113100.0,INLAND
-118.20823254288268,34.11363306324927,42.0,1546.0,385.0,1531.0,387.0,3.241981977003463,149936.0,<1H OCEAN
-117.16168854860452,32.7741672438324,49.0,1646.0,507.0,603.0,376.0,1.9898663153116944,133585.0,NEAR OCEAN
-121.83,37.36,22.0,3936.0,860.0,3508.0,877.0,4.2312,183800.0,<1H OCEAN
-121.29,38.59,19.0,2460.0,470.0,1346.0,480.0,3.6563,95600.0,INLAND
-118.75889830277306,34.10232569384458,35.0,2213.0,399.0,863.0,277.0,4.597713044113676,339965.0,NEAR OCEAN
-118.24092921543809,34.017831202540904,7.0,746.0,205.0,923.0,209.0,4.522814996365217,165551.0,<1H OCEAN
-121.78,38.66,18.0,4224.0,632.0,1907.0,641.0,4.8226,139900.0,INLAND
-121.94,37.42,16.0,3936.0,788.0,1910.0,769.0,4.7049,112500.0,<1H OCEAN
-122.48,37.59,29.0,5889.0,959.0,2784.0,923.0,5.3991,273000.0,NEAR OCEAN
-118.07,34.17,34.0,4062.0,597.0,1525.0,566.0,7.8588,454800.0,INLAND
-120.96,37.48,32.0,1256.0,212.0,682.0,236.0,2.9844,135900.0,INLAND
-122.1,37.39,35.0,2471.0,349.0,881.0,342.0,7.6229,500001.0,NEAR BAY
-118.97,35.38,32.0,1361.0,363.0,1483.0,297.0,1.625,46800.0,INLAND
-119.03,35.33,21.0,3057.0,698.0,1627.0,680.0,2.7083,84700.0,INLAND
-120.57,34.96,38.0,1145.0,297.0,1107.0,296.0,2.1776,89100.0,NEAR OCEAN
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,182100.0,<1H OCEAN
-119.8,36.77,52.0,2964.0,512.0,1114.0,486.0,3.8105,87600.0,INLAND
-122.34,40.58,7.0,4843.0,992.0,2223.0,932.0,3.0549,101700.0,INLAND
-118.08,33.93,39.0,1478.0,324.0,1127.0,320.0,3.525,158000.0,<1H OCEAN
-117.25,33.0,14.0,2518.0,458.0,931.0,414.0,5.8393,485300.0,NEAR OCEAN
-122.4,37.62,32.0,3586.0,921.0,2249.0,911.0,3.1058,253000.0,NEAR OCEAN
-116.88,34.24,13.0,4137.0,796.0,573.0,218.0,4.6394,226500.0,INLAND
-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,NEAR BAY
-120.50770454391072,37.35448011938472,14.0,1323.0,217.0,965.0,226.0,3.4459451167034394,106945.0,INLAND
-119.84,36.85,8.0,3791.0,487.0,1424.0,475.0,10.5144,345900.0,INLAND
-118.19,34.21,41.0,1602.0,228.0,680.0,225.0,6.553,500001.0,<1H OCEAN
-117.11330711873879,32.58164597951709,12.0,1043.0,317.0,885.0,236.0,2.1589119195195843,137575.0,NEAR OCEAN
-120.79,37.76,14.0,3531.0,508.0,1505.0,497.0,5.5228,275300.0,INLAND
-118.22,33.9,38.0,796.0,159.0,679.0,167.0,3.6607,110400.0,<1H OCEAN
-117.0,32.7,23.0,2785.0,468.0,1456.0,449.0,4.3714,131000.0,NEAR OCEAN
-117.9,33.93,12.0,4325.0,1191.0,1897.0,1080.0,3.3173,247400.0,<1H OCEAN
-118.26,34.23,33.0,1805.0,303.0,838.0,301.0,5.4306,326600.0,<1H OCEAN
-117.86,34.13,33.0,2383.0,428.0,1269.0,421.0,4.636,245500.0,INLAND
-122.28,37.78,29.0,5154.0,,3741.0,1273.0,2.5762,173400.0,NEAR BAY
-118.41075797997996,34.30846841348589,29.0,1266.0,280.0,1298.0,251.0,4.103117467996043,149830.0,<1H OCEAN
-117.43379311524214,33.92741330178918,33.0,2467.0,570.0,1457.0,511.0,3.091430848411089,115227.0,INLAND
-117.96837776385998,34.014966502959744,36.0,743.0,159.0,754.0,189.0,2.794635863852857,151412.0,<1H OCEAN
-118.2,33.95,41.0,679.0,184.0,788.0,185.0,2.1406,165300.0,<1H OCEAN
-118.48269541278822,34.07795844684698,38.0,3078.0,371.0,996.0,338.0,13.819528846397475,500001.0,<1H OCEAN
-118.23,34.09,41.0,438.0,201.0,690.0,161.0,2.0476,181300.0,<1H OCEAN
-122.35,40.57,22.0,589.0,97.0,338.0,107.0,3.2639,87500.0,INLAND
-117.27,33.22,5.0,2283.0,337.0,999.0,325.0,5.0249,196700.0,<1H OCEAN
-117.23,33.68,10.0,3659.0,650.0,1476.0,515.0,3.8869,125900.0,<1H OCEAN
-122.07,37.71,40.0,1808.0,302.0,746.0,270.0,5.3015,254900.0,NEAR BAY
-119.87,36.79,8.0,2875.0,548.0,1718.0,551.0,3.6522,80200.0,INLAND
-121.01828642415856,37.667453972735196,29.0,1608.0,350.0,983.0,385.0,1.8802535344268072,109775.0,INLAND
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,119100.0,NEAR BAY
-122.44,37.79,52.0,2045.0,353.0,722.0,327.0,8.0755,500001.0,NEAR BAY
-122.47,38.5,23.0,2191.0,415.0,959.0,361.0,4.1993,214500.0,INLAND
-121.28,37.95,49.0,1200.0,364.0,1448.0,318.0,1.1094,52500.0,INLAND
-118.01,33.7,24.0,3856.0,567.0,1741.0,588.0,7.248,302700.0,<1H OCEAN
-117.79,34.45,18.0,2986.0,597.0,1355.0,472.0,3.2765,165000.0,INLAND
-120.88480715687778,37.67172053064238,19.0,3167.0,718.0,2566.0,600.0,3.0040263699638743,82293.0,INLAND
-121.66559153287504,38.15907003285946,33.0,1821.0,380.0,785.0,306.0,3.1296842743319258,94587.0,INLAND
-118.27,34.15,22.0,2265.0,637.0,1684.0,561.0,2.6729,217100.0,<1H OCEAN
-117.87393370287806,33.69980791357079,13.0,1188.0,331.0,821.0,352.0,3.4092764513387537,265105.0,<1H OCEAN
-119.71,36.82,12.0,2144.0,568.0,1320.0,566.0,2.3381,112500.0,INLAND
-117.24,33.2,25.0,1631.0,415.0,1045.0,386.0,2.4505,147500.0,<1H OCEAN
-122.28,37.88,52.0,1172.0,215.0,489.0,218.0,3.9167,235600.0,NEAR BAY
-117.88,33.66,26.0,6017.0,1244.0,2673.0,1135.0,3.5426,295400.0,<1H OCEAN
-122.19,39.5,23.0,462.0,97.0,261.0,90.0,2.1705,53000.0,INLAND
-119.65,36.51,30.0,1671.0,319.0,966.0,282.0,3.1333,100000.0,INLAND
-122.66,38.46,14.0,2364.0,631.0,1300.0,625.0,2.6023,221100.0,<1H OCEAN
-118.07786274359381,33.88316302462746,39.0,2501.0,580.0,1654.0,478.0,3.9551287308111687,164835.0,<1H OCEAN
-117.77090675846868,33.81469276401331,9.0,10669.0,1664.0,4573.0,1542.0,6.871778372415667,279982.0,<1H OCEAN
-117.91,33.82,29.0,1444.0,326.0,1038.0,271.0,2.3843,182900.0,<1H OCEAN
-122.28,37.85,48.0,2063.0,484.0,1054.0,466.0,2.2625,132900.0,NEAR BAY
-118.15508380295071,34.72043035051467,26.0,6135.0,938.0,2776.0,852.0,4.226441444750704,115147.0,INLAND
-122.23,40.4,18.0,2102.0,377.0,1059.0,384.0,3.0556,95500.0,INLAND
-122.48,38.31,19.0,2398.0,521.0,1266.0,471.0,2.7727,186800.0,<1H OCEAN
-121.95,37.37,39.0,446.0,129.0,317.0,127.0,3.0357,208300.0,<1H OCEAN
-121.98,38.32,45.0,19.0,5.0,7460.0,6.0,10.2264,137500.0,INLAND
-121.63,39.12,34.0,1991.0,348.0,804.0,344.0,3.4492,98800.0,INLAND
-122.03502455131928,36.94853281307622,28.0,2730.0,410.0,1148.0,381.0,5.495974147880284,356057.0,NEAR OCEAN
-117.06053142507899,33.02793958718308,4.0,2393.0,579.0,841.0,410.0,3.652896431704273,220092.0,<1H OCEAN
-121.48,38.52,34.0,2561.0,497.0,1583.0,530.0,3.1583,95800.0,INLAND
-118.44,34.2,17.0,2934.0,950.0,2517.0,889.0,2.936,232500.0,<1H OCEAN
-121.88,38.01,9.0,5329.0,1284.0,2827.0,1202.0,2.7374,150000.0,INLAND
-119.71953624082951,34.433290770289915,48.0,1572.0,363.0,986.0,351.0,2.5684792564778487,255317.0,NEAR OCEAN
-119.79535957590402,36.714953311464996,17.0,1675.0,361.0,1335.0,358.0,1.2792751575206374,55215.0,INLAND
-124.17,40.8,52.0,1606.0,419.0,891.0,367.0,1.585,75500.0,NEAR OCEAN
-118.3740141051203,34.190367528028865,34.0,2892.0,774.0,2128.0,713.0,2.8832596233981254,177968.0,<1H OCEAN
-116.95300733506703,33.792385985245396,20.0,3583.0,758.0,2249.0,646.0,1.926962788226769,87265.0,INLAND
-117.35,33.95,28.0,1650.0,210.0,557.0,211.0,7.6632,204800.0,INLAND
-124.13812363792691,40.801781456952504,30.0,2283.0,443.0,1162.0,398.0,2.2033289911445215,86105.0,NEAR OCEAN
-118.10763099976748,34.0418334911461,17.0,2583.0,532.0,1693.0,501.0,2.801984997437362,169407.0,<1H OCEAN
-122.45,37.76,51.0,2564.0,457.0,810.0,442.0,5.6235,500001.0,NEAR BAY
-120.65,37.33,25.0,1731.0,311.0,810.0,266.0,4.1058,107600.0,INLAND
-118.2,33.9,34.0,1552.0,444.0,2093.0,413.0,2.2125,103200.0,<1H OCEAN
-118.46,34.26,33.0,1358.0,247.0,738.0,235.0,5.0947,210300.0,<1H OCEAN
-118.37,34.09,22.0,4247.0,1253.0,1766.0,1170.0,3.1517,341700.0,<1H OCEAN
-122.36,40.48,21.0,2333.0,514.0,1308.0,509.0,2.0899,74800.0,INLAND
-117.65067053977486,34.116884165393145,19.0,3152.0,591.0,1319.0,568.0,4.507161116600515,153856.0,INLAND
-118.26366298863644,33.77276978311447,26.0,2245.0,691.0,2409.0,639.0,1.891403107053218,154039.0,NEAR OCEAN
-121.95530449357913,37.76769853884452,17.0,3208.0,435.0,1198.0,462.0,6.945139193171301,357711.0,<1H OCEAN
-118.33,34.2,23.0,7179.0,1985.0,4757.0,1924.0,3.1051,206500.0,<1H OCEAN
-117.3061043487825,34.07110242722215,50.0,1245.0,267.0,767.0,278.0,2.038567688786683,76070.0,INLAND
-121.57128201782008,39.8274354306645,15.0,4369.0,1004.0,1934.0,755.0,2.160497593947309,96586.0,INLAND
-119.83498391776715,34.440215473153465,15.0,1535.0,371.0,705.0,388.0,2.9905736514277828,110415.0,NEAR OCEAN
-118.31,34.03,52.0,1902.0,406.0,1233.0,385.0,2.8295,132200.0,<1H OCEAN
-118.31,34.0,52.0,1542.0,309.0,939.0,276.0,1.6892,129100.0,<1H OCEAN
-118.03692036750421,33.834319996332106,28.0,4143.0,718.0,2251.0,642.0,5.6239645973013594,298314.0,<1H OCEAN
-121.25415085226437,38.66912096454585,16.0,3194.0,850.0,1628.0,847.0,2.4872553525862866,149729.0,INLAND
-119.19,34.21,28.0,4194.0,811.0,2556.0,856.0,4.2227,235400.0,NEAR OCEAN
-117.24192826844494,32.86963378225133,31.0,1697.0,208.0,614.0,201.0,12.572805132672649,500001.0,NEAR OCEAN
-118.27911971180896,34.01284859290015,37.0,1184.0,319.0,1332.0,306.0,1.7091876113844022,103562.0,<1H OCEAN
-122.49,37.99,27.0,5470.0,755.0,1916.0,764.0,6.994,420800.0,NEAR BAY
-119.28349160359353,34.25415348255784,22.0,3560.0,719.0,1474.0,663.0,4.431594959380252,367325.0,NEAR OCEAN
-117.08,32.68,26.0,3071.0,615.0,2156.0,568.0,2.9318,112400.0,NEAR OCEAN
-118.18,33.9,32.0,1452.0,365.0,1888.0,366.0,3.5461,146400.0,<1H OCEAN
-122.13190984141748,37.636998596259645,26.0,174.0,30.0,84.0,25.0,2.3553315994853974,137272.0,NEAR BAY
-115.54705858729017,32.97891453272211,42.0,2424.0,437.0,1208.0,434.0,2.9940075087371656,72576.0,INLAND
-121.31,38.59,35.0,3295.0,560.0,1454.0,536.0,3.1711,101900.0,INLAND
-118.28681829448304,33.91702560758875,40.0,812.0,193.0,579.0,161.0,2.1988418973419925,123466.0,<1H OCEAN
-117.07,32.64,32.0,5135.0,1025.0,2152.0,944.0,4.1325,172800.0,NEAR OCEAN
-121.6934273607627,37.998778578177536,7.0,6905.0,1177.0,3832.0,1043.0,5.094209878636027,166766.0,INLAND
-117.92,33.57,37.0,3355.0,492.0,921.0,366.0,7.2988,500001.0,NEAR OCEAN
-122.5,37.76,50.0,1993.0,410.0,1009.0,374.0,3.9464,295600.0,NEAR OCEAN
-119.87,36.81,6.0,1891.0,341.0,969.0,330.0,4.6726,107800.0,INLAND
-122.64,41.63,19.0,2722.0,479.0,1108.0,430.0,3.1062,100000.0,INLAND
-117.03572259029556,33.13432267329118,26.0,3432.0,497.0,1309.0,458.0,5.554147426407939,237899.0,<1H OCEAN
-117.88321562664557,33.89902528528514,19.0,3080.0,429.0,1305.0,386.0,6.388325560125284,291685.0,<1H OCEAN
-119.82,36.79,35.0,1474.0,291.0,709.0,294.0,2.6522,65900.0,INLAND
-118.25,33.93,36.0,2452.0,734.0,2664.0,667.0,0.9298,100000.0,<1H OCEAN
-118.08647829949497,34.608909649034985,32.0,1505.0,335.0,804.0,246.0,3.4453258950209618,108149.0,INLAND
-121.43589565802675,38.63790593399947,8.0,2595.0,480.0,2122.0,478.0,2.659032465241469,104389.0,INLAND
-119.31,34.7,19.0,961.0,218.0,479.0,138.0,3.3438,156300.0,INLAND
-121.91,37.36,42.0,3224.0,708.0,1940.0,674.0,3.2153,199700.0,<1H OCEAN
-118.08921299802466,33.944317649334316,38.0,1967.0,360.0,1237.0,346.0,4.2243147695529,160482.0,<1H OCEAN
-121.23,38.69,19.0,5268.0,849.0,2357.0,849.0,3.9226,148700.0,INLAND
-117.29984049418532,33.03366011394239,15.0,4418.0,1060.0,2435.0,885.0,3.4490969301265193,257663.0,NEAR OCEAN
-117.29334768826176,34.54023924514506,25.0,2299.0,461.0,1163.0,476.0,2.7282376022586856,81199.0,INLAND
-121.12,38.86,17.0,3949.0,717.0,1683.0,686.0,3.3802,216500.0,INLAND
-118.01,34.05,31.0,1135.0,355.0,1717.0,368.0,2.1602,161700.0,<1H OCEAN
-122.79,39.09,20.0,1798.0,395.0,685.0,331.0,1.625,66800.0,INLAND
-122.41,37.81,25.0,1178.0,545.0,592.0,441.0,3.6728,500001.0,NEAR BAY
-121.3174814620426,38.020278780822,12.0,2615.0,435.0,1323.0,356.0,5.170858638620989,134957.0,INLAND
-119.79,36.8,27.0,2462.0,484.0,852.0,449.0,3.32,124700.0,INLAND
-122.02834175195316,37.97009254048001,40.0,1348.0,254.0,718.0,275.0,3.154492157269658,140078.0,NEAR BAY
-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3.7396,148900.0,INLAND
-121.15,38.21,18.0,4176.0,700.0,2164.0,699.0,4.0365,174200.0,INLAND
-120.94,37.65,13.0,5075.0,978.0,3033.0,838.0,3.0577,119000.0,INLAND
-121.88,36.96,18.0,4910.0,817.0,1971.0,773.0,5.8325,308800.0,NEAR OCEAN
-118.34,33.86,35.0,1936.0,343.0,1008.0,346.0,5.4791,285900.0,<1H OCEAN
-119.72082653148563,36.80737485953443,16.0,2143.0,517.0,1219.0,508.0,2.7683144718867063,88718.0,INLAND
-121.3,38.02,16.0,2717.0,621.0,3343.0,643.0,2.5473,106300.0,INLAND
-120.69781760429447,38.75355488755099,20.0,2270.0,449.0,982.0,376.0,2.9527659974650864,160898.0,INLAND
-121.9971112717292,37.28892003829589,26.0,2775.0,372.0,1004.0,345.0,8.127706607534073,500001.0,<1H OCEAN
-117.24721854312786,32.84929971328447,17.0,1142.0,529.0,624.0,456.0,3.27525609754423,98813.0,NEAR OCEAN
-117.50967228102827,33.903337943435666,3.0,15778.0,3426.0,7724.0,2447.0,5.267068120869794,221042.0,INLAND
-118.34,34.2,41.0,2860.0,682.0,1516.0,621.0,3.0431,262900.0,<1H OCEAN
-117.92,33.86,26.0,745.0,161.0,247.0,151.0,3.6375,133900.0,<1H OCEAN
-122.18610754483541,37.708353742291465,38.0,1027.0,203.0,567.0,231.0,3.0798798838178,177569.0,NEAR BAY
